tweet_text
N quero comprar fora do brasil
bota tudo no low
seu pc ta rodando biznes amifo
opa opa
@kabumcombr
Redmi note 7 > all
N tem outra opção
Moto G6 Luca mds
Hey @kabumcombr, vocês poderiam me ajudar? Não consigo saber onde o meu pedido está, o número do pedido é 11716435
hey my friend meu limite virou hj e estourou hj tamo juntasso @kabumcombr
Melhor email do dia @kabumcombr pic.twitter.com/Pb9xU7qsao
O vidro fez Kabum
Comprei dois controle na @kabumcombr e, um deles veio com defeito! Acho que foi azar só esperar o pedido atualizar pra mandar de volta.
@kabumcombr vai ter ms80 de novo???
Se os preços continuarem caindo eu não vou reclamar huehue
Chegou meu core i7 @kabumcombr valeu pela entrega mais que rápida! pic.twitter.com/vzVKQjt4Up
q teclado é esse?
Paguei o boleto no mesmo dia da compra. Eles mandaram email pedido comprovante desse pagamento. Enviei no mesmo dia. E já são 11 DIAS ÚTEIS DE ESPERA. No site eles dizem máximo de 2 dias Quero solução @kabumcombr
comprei esse tem uns 3 dias, ansioso p chegar logo
"Na verdade sempre buscamos os melhores preços sempre, então a tendência aqui é abaixar sempre. Enquanto aos lançamentos ainda não temos prévia para chegada aqui no KaBuM! ;)"
pq se achaaaaaaaaaaa
Será que está chegando a GTX 2050/2060? Por qual motivo a @kabumcombr está limpando seus estoques de GTX 1050/1060?
#FicaDicapic.twitter.com/IgeeBUsBWS
"• Aquele tipo de #Oferta que devemos anunciar assim: ""Quem pegou, pegou, pegou não pega mais""... Smartphone Samsung Galaxy J6 com TV Digital e 64GB de Armazenamento. Preço com unidades limitadas! Aproveite Ninja! » http://kabum.com.br/link/40/97430 pic.twitter.com/xha9VrnRcZ"
Smartphone com ótima configuração e um preço com desconto imperdível na #SmartWeek! ► Smartphone Asus Zenfone Max M1 por apenas R$699,90 à vista. Unidades limitadas! • Aproveitem Ninjas! » http://kabum.com.br/link/40/97773 pic.twitter.com/KPE5hcnJuc
Foco é a cadeira agora. Minha coluna tá fodida
Vlw @kabumcombr demorei um pouco pra postar mais tá tranks pic.twitter.com/4H8lcYPrcl
certo
Qualquer nova dúvida só me chamar na DM! :)
obrigada eu vou entrar no site todo diapic.twitter.com/4QYHO9Koeo
Claro, chama lá na DM com o número do pedido, vamos ver o andamento! :)
eu acho que é compra no cartão que chama
queria 1080Ti 3 fans, mas acho que tiraram de fabricaçao para nos empurrarem as RTX!
. @kabumcombr manda brasa nessa entrega ninja que eu aproveitei a promoção consegui pegar meu G403!
Estamos atualizando a lista durante a semana fique de olhp! \o/
O que tá pegando? Chama na DM! :)
meee, eu marquei errado! uHAuAHuA desculpem
"Este será o seu novo Smartphone! Aproveite esta #Oferta com ótimo custo x benefício! ► Smartphone Samsung Galaxy J6 64GB, 13MP, Tela 5.6"", TV Digital, Octa Core. • Garanta o seu! » http://kabum.com.br/link/40/97431 pic.twitter.com/uuyGPnlWYB"
Seu novo Smartphone no KaBuM! Aproveite a SmartWeek! Samsung J6 - Preto http://kabum.com.br/link/40/97079 Desenhado para proporcionar conforto a quem tem a vida corrida. Com suas belas e suaves curvas e acabamento elegante! Aproveite e garanta o seupic.twitter.com/B9E8sfmCzv
Vai pegar um 4K agora? LUL
mas é um puta mouse eu gostei
Guys, acabei de efetuar o pedido de garantia na @kabumcombr . Vamos ver quanto tempo demora para trocarem meu HD <3 Assim vocês acompanham junto comigo!
eu tenho essehttps://www.kabum.com.br/cgi-local/site/produtos/descricao_ofertas.cgi?codigo=84441&origem=52&gclid=Cj0KCQiA1sriBRD-ARIsABYdwwHKoEzHjAkS1edRMIw2AhERKSyd-uIAT1VaYFLLdsMCGZgHU_HW9G0aAqJdEALw_wcB …
puts mano nao sei acho que nenhuma so gastei de besta mesmo
puts paguei 400 no elite kkk
eu gostei do mouse mas achei muito grande mas se vc gosta e melhor kkk quanto vc pagou?
ia pega o 403 mas tava mais caro ai peguei o 402, mt bom ma frend
mouse muito bom mais e grande
Oiee, neste caso é com o ninja @kabumcombr ^^
Kabum eu amo vcs, sério, muito muito mesmo. Essa promoção tá sendo muito boa e veio em um momento que to atrás de um celular bom pra comprar, mas justamente o que eu quero não está em promoção. Quais as probabilidades de eu ter um desconto bem especial em pagamento parcelado? :D
@HiagoVieira_ olha isso mlk
GTX 1050 TI passando por sua Timeline! Não perca esta #oferta Ninja, garanta a sua agora mesmo pois este preço é válido para unidades limitadas! • Aproveite! http://kabum.com.br/link/40/83518 pic.twitter.com/BVuAiCJc6k
usa um g403 man, depois disso tu nunca mais vai querer outra coisa
Hahhaha
"Depois de 2 semanas, finalmente a @kabumcombr enviou o meu pedido! Amém irmões Se não der outra merda, até o fim da semana que vem o PC novo já estará em atividade, streams logo em seguida ;)"
logitech > resto
razer.........
Ai esta tirando onda! Se deus quiser compro 1
Testando agora. Nada a reclamar!
@guiklering77 seu nivel
pic.twitter.com/iVxnO7Wfj2
Esse mouse é muito bom,n me arrependo de ter comprado
Belezura recebida! O que falar da rapidez? Valeu, @kabumcombr pic.twitter.com/7CXoCNoOBc
@MariaaAa_cb
#Oferta Smartweek imperdível! Smartphone Samsung Galaxy J6+ http://kabum.com.br/link/40/98909 Tela infinita de 6´, Dual Câmera Traseira 13MP+5MP, Câmera Frontal de 8MP com Flash LED ajustável, 32GB, 3GB RAM, Dual Chip.pic.twitter.com/1GxA2STiBn
Agora te assistir pelo celular ou Play.... O q vai me fazer interagir menos
Vi esse aqui... É o mais na promoção... Sabe né desempregado... Faço bico de programação sem PC sem trabalho....https://m.kabum.com.br/produto/83829/hd-seagate-sata-3-5-ironwolf-nas-1tb-5400rpm-64mb-cache-sata-6-0gb-s-st1000vn002 …
Deverá ser atualizado até o final do dia de hoje.
Pois é... Tô com uns trocados aqui se eu conseguir um novo volto pro pc ate então vai ficar parado
"Cola aqui http://kabum.com.br/ofertas/atomika ;)"
ah não, que zica Magezinho
Aí vc esta jogando Destiny 2 de boas no PC... Quando seu HD resolve queimar.... @kabumcombr da um help aí... Tem HD bom e barato aí???
Querooooooooo o g6 plus ou o zenfoneeeeee
pichau demorou 2, e paguei mais barato auvduahdoshau
"Smartphone com ótimo custo x benefício! Smartphone LG K9 16GB, 8MP, Tela 5"", TV Digital, Preto Aproveite! » http://kabum.com.br/link/40/96956 pic.twitter.com/JzkfmhJYJY"
Kkkkkk e bem isso
Tomara mesmo, vou ficar na torcida para que sim, . Obrigada e desculpa incomodar.
Será entregue entre hoje e amanhã!
Mano a amazonbr, tem as coisas um pouco mais caro mas chega muito rápido, meu mouse demorou 3 dias para chegar
Vai jogar com gráficos do Nintendo Wii mas vai. kkkkkkkkkkkkkkkk
oi @kabumcombr o frete pra cadeira no seu site também é bem caro ou dá pra um ser humano médio pagar?
Economizar pra terminar o pc ne
dia 4 eu comprei, dia 26 chegou e hoje dia 31 veio mais uma
Parabéns a @kabumcombr pelo serviço horrível de não entregar um jogo comprado na pré venda no dia do lançamento e nem no dia seguinte
Alguma posição?
Chegando #Oferta nova pra vocês. Uma GTX 1060 da EVGA com um preço surpreendente. • Aproveitem Ninjas! » http://kabum.com.br/link/40/82186 Atenção, esta oferta possuí unidades limitadas!pic.twitter.com/HptjAJocgx
Uai
É uma cadeira da Husky, terminando de montar eu tiro foto
n mano, a minha blusa q eu comprei dia 4 chego duas dela
carai velho n aguento minha anciedade a cada 15 minutos eu entro no site da @kabumcombr pra ver aonde ta o meu pedido e n sai de sao paulo velho, passa ai o endereco q eu vou ai busca KKKKKJJJJJ
@kabumcombr oi sobre minha encomenda meu produto chegou porém um dos controles o Dpad está quebrado! Como faço para efetuar a troca? Reparei que o outro está normal
Manda foto fora da caixa
Oq é?
Que mané estatal, fui de TNT
sedex ta maluco cuidado que pode chegar mais um desse
Valeu, @kabumcombr! 1 dia útil de entrega. pic.twitter.com/9t7sEXV10U
dps me da sua opnião sobre o microfone, futuramente vou estar comprando um para minhas streams também
Esse tt e o do time mongol
Chegou minha encomenda @kabumcombr muito obrigado pic.twitter.com/6HayiiEMNe
Hoje é o último dia para você aproveitar esta Mega lista de #Ofertas que está rolando no KaBum! com até 30% de desconto em diversos setores! • Aproveite! » http://kabum.com.br/ofertas/atomika #Dica: Utilize o F3 na lista e busque pelo produto que está querendo, EX: SSD, Monitor, VGA.pic.twitter.com/h1Fz1Z2o6C
Nos últimos 2 anos e atualmente eu jogo mais no PC, mas passei uns 10 anos jogando em console kk
@kabumcombr tem como dar uma olhada no meu pedido? Queria confirmar qual o método de entrega eu escolhi
960gb mas não tem chinelo
Eu fazia muito essas pulseiras haha! Ganhei até uns trocados
Bom mesmo e a @kabumcombr me da uma dessa ae de presente de aniver <3
@kabumcombr - Ah sim, estou aguardando.
Sim, isto que estamos verificando.
Sobre qual caso? Vocês já atualizaram meu endereço, quero saber se vai ser entregue até amanhã ou não.
